cpd:C00001	H2O; Water
cpd:C00036	Oxaloacetate; Oxalacetic acid; Oxaloacetic acid; keto-Oxaloacetate; 2-Oxosuccinic acid; 2-Oxobutanedioic acid
cpd:C00037	Gly; Glycine; Aminoacetic acid
cpd:C00038	Zn2+; Zn(II); Zinc ion; Zinc cation
cpd:C00039	DNA; DNAn; DNAn+1; Deoxyribonucleic acid; (Deoxyribonucleotide)n; (Deoxyribonucleotide)m; (Deoxyribonucleotide)n+m
cpd:C00040	Acyl-CoA; Acyl coenzyme A
cpd:C00041	L-Alanine; L-alpha-Alanine; L-2-Aminopropionic acid
cpd:C00042	Succinate; Succinic acid; Butanedionic acid; Ethylenesuccinic acid
cpd:C00043	UDP-N-acetylglucosamine; UDP-N-acetyl-D-glucosamine; UDP-N-acetyl-alpha-D-glucosamine
cpd:C00044	GTP; Guanosine 5'-triphosphate
cpd:C00045	Amino acid; Amino acids
cpd:C00046	RNA; RNAn; RNAn+1; RNA(linear); Ribonucleic acid; (Ribonucleotide)n; (Ribonucleotide)m; (Ribonucleotide)n+m
cpd:C00047	L-Lysine; Lysine acid; 2,6-Diaminohexanoic acid
cpd:C00048	Glyoxylate; Glyoxalate; Glyoxylic acid
cpd:C00049	L-Asp; L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid
cpd:C00051	GSH; Glutathione; Reduced glutathione; 5-L-Glutamyl-L-cysteinylglycine; gamma-L-Glutamyl-L-cysteinyl-glycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine
cpd:C00052	UDP-galactose; UDP-D-galactose; UDP-alpha-D-galactose; UDP-D-galactopyranose; UDP-alpha-D-galactopyranose
cpd:C00053	PAPS; 3'-Phosphoadenylyl sulfate; 3'-Phospho-5'-adenylyl sulfate; 3'-Phosphoadenosine 5'-phosphosulfate
cpd:C00054	PAP; 3'-Phosphoadenylate; Phosphoadenosine phosphate; Adenosine 3',5'-bisphosphate
cpd:C00055	CMP; Cytidylic acid; Cytidine-5'-monophosphate
cpd:C00058	Formate; Formic acid; Methanoic acid
cpd:C00059	Sulfate; Sulfuric acid
cpd:C00060	R-COOH; Carboxylate; Monocarboxylate; Carboxylic acid
cpd:C00061	FMN; Flavin mononucleotide; Riboflavin-5-phosphate
cpd:C00062	L-Arg; L-Arginine; (S)-2-Amino-5-guanidinovaleric acid
cpd:C00063	CTP; Cytidine triphosphate; Cytidine 5'-triphosphate
cpd:C00064	L-Glutamine; L-2-Aminoglutaramic acid
cpd:C00065	Serine; L-Serine; L-3-Hydroxy-alanine; L-2-Amino-3-hydroxypropionic acid
cpd:C00066	tRNA; tRNA(n); tRNA(n+1); transfer RNA
cpd:C00067	Methanal; Formalin; Oxomethane; Formaldehyde; Oxomethylene; Methylene oxide
cpd:C00068	TPP; ThPP; Thiamin diphosphate; Thiamine diphosphate; Thiamin pyrophosphate
cpd:C00070	Cu+; Cu2+; Copper; Cu(II)
cpd:C00071	RCHO; Aldehyde
cpd:C00072	Ascorbate; Vitamin C; L-Ascorbate; Ascorbic acid; L-Ascorbic acid
cpd:C00073	Methionine; L-Methionine; L-2-Amino-4methylthiobutyric acid
cpd:C00074	PEP; Phosphoenolpyruvate; Phosphoenolpyruvic acid
cpd:C00075	UTP; Uridine triphosphate; Uridine 5'-triphosphate
cpd:C00076	Ca2+; Calcium(2+); Calcium ion; Calcium cation
cpd:C00077	L-Ornithine; (S)-2,5-Diaminopentanoate; (S)-2,5-Diaminovaleric acid; (S)-2,5-Diaminopentanoic acid
cpd:C00078	Tryptophan; L-Tryptophan; (S)-alpha-Amino-beta-(3-indolyl)-propionic acid
cpd:C00079	L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid
cpd:C00080	H+; Hydron
cpd:C00081	ITP; Inosine triphosphate; Inosine 5'-triphosphate; Inosine tripolyphosphate
cpd:C00082	Tyrosine; L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid
cpd:C00083	Malonyl-CoA; Malonyl coenzyme A
cpd:C00084	Ethanal; Acetaldehyde
cpd:C00085	Neuberg ester; D-Fructose 6-phosphate; D-Fructose 6-phosphoric acid
cpd:C00086	Urea; Carbamide
cpd:C00087	S; Sulfur; Elemental sulfur
cpd:C00088	Nitrite
cpd:C00089	Sucrose; Cane sugar; Saccharose; 1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside
cpd:C00090	Catechol; Pyrocatechol; o-Benzenediol; Brenzcatechin; 1,2-Benzenediol; 1,2-Dihydroxybenzene
cpd:C00091	Succinyl-CoA; Succinyl coenzyme A
cpd:C00092	Robison ester; Glucose 6-phosphate; D-Glucose 6-phosphate
cpd:C00093	Glycerophosphoric acid; D-Glycerol 1-phosphate; sn-Glycerol 3-phosphate
cpd:C00094	Sulfite; Sulfurous acid
cpd:C00095	Levulose; D-Fructose; Fruit sugar; D-arabino-Hexulose
cpd:C00096	GDP-mannose; GDP-D-mannose; GDP-alpha-D-mannose
cpd:C00097	L-Cysteine; L-2-Amino-3-mercaptopropionic acid
cpd:C00098	Oligopeptide
cpd:C00099	beta-Alanine; 3-Aminopropanoate; 3-Aminopropionic acid
cpd:C00100	Propanoyl-CoA; Propionyl-CoA; Propionyl coenzyme A
cpd:C00101	THF; (6S)-THFA; Tetrahydrofolate; Tetrahydrofolic acid; (6S)-Tetrahydrofolate; 5,6,7,8-Tetrahydrofolate; (6S)-Tetrahydrofolic acid
cpd:C00103	Cori ester; D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; D-Glucose alpha-1-phosphate
cpd:C00104	IDP; Inosine diphosphate; Inosine 5'-diphosphate
cpd:C00105	UMP; Uridylic acid; 5'Uridylic acid; Uridine monophosphate; Uridine 5'-monophosphate
cpd:C00106	Uracil
cpd:C00107	Dipeptide
cpd:C00108	Vitamin L1; Anthranilate; 2-Aminobenzoate; Anthranilic acid; o-Aminobenzoic acid
cpd:C00109	2-Oxobutyrate; 2-Oxobutanoate; 2-Oxobutyric acid; 2-Ketobutyric acid; 2-Oxobutanoic acid; alpha-Ketobutyrate; alpha-Ketobutyric acid
cpd:C00110	Dolichyl phosphate; Dolichol phosphate
cpd:C00111	Glycerone phosphate; Dihydroxyacetone phosphate
cpd:C00112	CDP; Cytidine diphosphate; Cytidine 5'-diphosphate
cpd:C00114	Choline; Bilineurine
cpd:C00116	Glycerol; Glycerin; 1,2,3-Propanetriol; 1,2,3-Trihydroxypropane
cpd:C00117	Ribose 5-phosphate; D-Ribose 5-phosphate
cpd:C00118	Glyceraldehyde 3-phosphate; D-Glyceraldehyde 3-phosphate; (2R)-2-Hydroxy-3-(phosphonooxy)-propanal
cpd:C00119	PRPP; 5-Phosphoribosyl diphosphate; 5-Phosphoribosyl 1-pyrophosphate; 5-Phospho-alpha-D-ribose 1-diphosphate
cpd:C00120	Biotin; D-Biotin; Vitamin H; Coenzyme R
cpd:C00121	D-Ribose
cpd:C00122	Fumarate; Fumaric acid; trans-Butenedioic acid
cpd:C00123	L-Leucine; (2S)-alpha-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid
cpd:C00124	D-Galactose; D-Galactopyranose
cpd:C00127	GSSG; Oxiglutatione; Oxidized glutathione; Glutathione disulfide
cpd:C00128	CMP-N-acetylneuraminate; CMP-N-acetyl-beta-neuraminate
cpd:C00129	Isopentenyl diphosphate; delta3-Isopentenyl diphosphate; delta3-Methyl-3-butenyl diphosphate
cpd:C00130	IMP; 5'-IMP; 5'-Inosinate; Inosinic acid; 5'-Inosinic acid; Inosine 5'-phosphate; Inosine monophosphate; Inosine 5'-monophosphate; 5'-Inosine monophosphate
cpd:C00131	dATP; Deoxyadenosine triphosphate; Deoxyadenosine 5'-triphosphate; 2'-Deoxyadenosine 5'-triphosphate
cpd:C00132	CH3OH; Methanol; Methyl alcohol
cpd:C00133	D-Ala; D-Alanine; D-2-Aminopropionic acid
cpd:C00134	Putrescine; 1,4-Butanediamine; 1,4-Diaminobutane; Butane-1,4-diamine; Tetramethylenediamine
cpd:C00135	L-Histidine; (S)-alpha-Amino-1H-imidazole-4-propionic acid
cpd:C00136	Butyryl-CoA; Butanoyl-CoA
cpd:C00137	Bios I; Dambose; Inositol; Meat sugar; myo-Inositol; Cyclohexitol; meso-Inositol; D-myo-Inositol; L-myo-Inositol; 1D-myo-Inositol; 1L-myo-Inositol
cpd:C00140	GlcNAc; N-Acetylchitosamine; N-Acetyl-D-glucosamine; 2-Acetamido-2-deoxy-D-glucose
cpd:C00141	2-Ketovaline; 2-Oxoisovalerate; alpha-Ketovaline; 2-Oxoisopentanoate; 3-Methyl-2-oxobutanoate; 2-Oxo-3-methylbutanoate; 3-Methyl-2-oxobutyric acid; 3-Methyl-2-oxobutanoic acid; 2-Keto-3-methylbutyric acid
cpd:C00143	5,10-Methylene-THF; 5,10-Methylenetetrahydrofolate; (6R)-5,10-Methylenetetrahydrofolate
cpd:C00144	GMP; Guanylic acid; Guanosine 5'-phosphate; Guanosine monophosphate; Guanosine 5'-monophosphate
cpd:C00146	Phenol; Benzenol; Phenic acid; Phenylic acid; Hydroxybenzene
cpd:C00147	Adenine; 6-Aminopurine
cpd:C00148	L-Proline; 2-Pyrrolidinecarboxylic acid
cpd:C00149	Malate; L-Malate; (S)-Malate; Malic acid; L-Apple acid; L-Malic acid; L-2-Hydroxybutanedioic acid
cpd:C00151	L-Amino acid; L-2-Amino acid
cpd:C00152	L-Asparagine; 2-Aminosuccinamic acid
cpd:C00153	Vitamin PP; Niacinamide; Nicotinamide; Nicotinic acid amide
cpd:C00154	Palmitoyl-CoA; Hexadecanoyl-CoA
cpd:C00155	Homocysteine; L-Homocysteine; L-2-Amino-4-mercaptobutyric acid
cpd:C00156	4-Hydroxybenzoate; Hydroxybenzoic acid; 4-Hydroxybenzoic acid; Hydroxybenzenecarboxylic acid
cpd:C00157	Lecithin; Phosphatidylcholine; Choline phosphatide; 3-sn-Phosphatidylcholine; Phosphatidyl-N-trimethylethanolamine; 1,2-Diacyl-sn-glycero-3-phosphocholine
cpd:C00158	Citrate; Citric acid; 2-Hydroxytricarballylic acid; 2-Hydroxy-1,2,3-propanetricarboxylic acid
cpd:C00159	Mannose; Seminose; D-Mannose; Carubinose
cpd:C00160	Glycolate; Glycolic acid; Hydroxyacetic acid
cpd:C00162	Fatty acid
cpd:C00163	Propanoate; Propionate; Propanoic acid; Propionic acid
cpd:C00164	Acetoacetate; Acetoacetic acid; 3-Oxobutanoic acid; beta-Ketobutyric acid
cpd:C00165	Diglyceride; Diacylglycerol
cpd:C00166	Phenylpyruvate; Phenylpyruvic acid; keto-Phenylpyruvate; 3-Phenyl-2-oxopropanoate; 2-Oxo-3-phenylpropanoate; alpha-Ketohydrocinnamic acid
cpd:C00167	UDPglucuronate; UDP-glucuronate; UDP-D-glucuronate; UDP-alpha-D-glucuronate
cpd:C00168	Hydroxypyruvate; 3-Hydroxypyruvate; Hydroxypyruvic acid; 3-Hydroxypyruvic acid
cpd:C00169	Carbamoyl phosphate
cpd:C00170	MTA; Methylthioadenosine; Thiomethyladenosine; 5-Methylthioadenosine; 5'-Methylthioadenosine; S-Methyl-5'-thioadenosine; 5'-Deoxy-5'-(methylthio)adenosine
cpd:C00173	Acyl-[acyl-carrier protein]
cpd:C00175	Co2+; Co(II); Cobalt ion; Cobalt(2+)
cpd:C00177	CN-; Cyano; Cyanide; Prussiate; Cyanide ion
cpd:C00178	Thymine; 5-Methyluracil
cpd:C00179	Agmatine; (4-Aminobutyl) guanidine
cpd:C00180	Benzoate; Benzoic acid; Dracylic acid; Phenylformic acid; Benzenecarboxylic acid
cpd:C00181	D-Xylose; Wood sugar
cpd:C00183	L-Valine; 2-Amino-3-methylbutyric acid
cpd:C00184	Glycerone; Dihydroxyacetone; 1,3-Dihydroxyacetone; 1,3-Dihydroxy-2-propanone; 1,3-Dihydroxypropan-2-one
cpd:C00185	Cellobiose; 1-beta-D-Glucopyranosyl-4-D-glucopyranose
cpd:C00186	L-Lactate; (S)-Lactate; L-Lactic acid
cpd:C00187	Cholesterol; Cholest-5-en-3beta-ol
cpd:C00188	L-Threonine; 2-Amino-3-hydroxybutyric acid
cpd:C00189	Ethanolamine; Aminoethanol; 2-Hydroxyethylamine
cpd:C00190	UDP-xylose; UDP-D-xylose; UDP-alpha-D-xylose
cpd:C00191	Glucuronate; D-Glucuronate; Glucuronic acid
cpd:C00192	NH2OH; Hydroxylamine
cpd:C00194	Calomide; Cobamamide; Funacomide; Dibencozide; Coenzyme B12; DMBC coenzyme; Cobamide coenzyme; Adenosylcobalamin; Cobalamin coenzyme; Vitamin B12 coenzyme; Adenosylcob(III)alamin; Deoxyadenosylcobalamin; 5'-Deoxy-5'-adenosylcobalamin; 5'-Deoxy-5'-adenosyl vitamin B12; (5'-Deoxy-5'-adenosyl)cobamide coenzyme; (5,6-Dimethylbenzimidazolyl)cobamide coenzyme; 5,6-Dimethylbenzimidazolyl-5-deoxyadenosyl-cobamide; alpha-(5,6-Dimethylbenzimidazolyl)cobamide coenzyme; 5'-Deoxy-5'-adenosyl-5,6-dimethylbenzimidazolylcobamide; 5,6-Dimethylbenzimidazolyl-Co-5'-deoxy-5'-adenosylcobamide
cpd:C00195	Ceramide; N-Acylsphingosine
cpd:C00196	2,3-Dihydroxybenzoate; 2,3-Dihydroxybenzoic acid
cpd:C00197	3-Phosphoglycerate; 3-Phospho-D-glycerate; D-Glycerate 3-phosphate; 3-Phospho-(R)-glycerate
cpd:C00198	Gluconolactone; Gluconic lactone; D-Gluconolactone; 1,5-Gluconolactone; delta-Gluconolactone; D-Glucono-1,5-lactone; Gluconic acid lactone
cpd:C00199	D-Ribulose 5-phosphate
cpd:C00203	UDP-N-acetyl-D-galactosamine; UDP-N-acetyl-alpha-D-galactosamine
cpd:C00204	2-Keto-3-deoxy-D-gluconate; 2-Dehydro-3-deoxy-D-gluconate
cpd:C00206	dADP; 2'-Deoxyadenosine 5'-diphosphate
cpd:C00207	Acetone; 2-Propanone; Dimethyl ketone
cpd:C00208	Maltose; Malt sugar; alpha-D-Glucopyranosyl-(1->4)-D-glucopyranose
cpd:C00209	Oxalate; Oxalic acid; Ethanedioic acid
cpd:C00212	Adenosine
cpd:C00213	Sarcosine; N-Methylglycine
cpd:C00214	Thymidine; Deoxythymidine
cpd:C00217	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid
cpd:C00218	Methylamine; Methanamine
cpd:C00219	Arachidonate; Arachidonic acid; cis-5,8,11,14-Eicosatetraenoic acid; (5Z,8Z,11Z,14Z)-Icosatetraenoic acid
cpd:C00221	beta-D-Glucose
cpd:C00222	3-Oxopropanoate; Malonate semialdehyde
cpd:C00223	p-Coumaroyl-CoA; 4-Coumaroyl-CoA; 4-Hydroxycinnamoyl-CoA
cpd:C00224	APS; Adenylyl sulfate; 5'-Adenylyl sulfate; Adenosine 5'-phosphosulfate
cpd:C00226	1-Alcohol; Primary alcohol
cpd:C00227	Acetyl phosphate
cpd:C00229	ACP; Acyl-carrier protein; [Acyl-carrier protein]; Holo-[acyl-carrier protein]
cpd:C00230	Protocatechuate; Protocatechuic acid; 3,4-Dihydroxybenzoate; 3,4-Dihydroxybenzoic acid
cpd:C00231	D-Xylulose 5-phosphate
cpd:C00232	4-Oxobutanoate; Succinic semialdehyde; Succinate semialdehyde
cpd:C00233	2-Oxoisocaproate; 4-Methyl-2-oxopentanoate
cpd:C00234	10-Formyl-THF; 10-Formyltetrahydrofolate
cpd:C00235	DMAPP; Prenyl diphosphate; Monoprenyl diphosphate; Dimethylallyl diphosphate; 2-Isopentenyl diphosphate; Dimethylallyl pyrophosphate; delta2-Isopentenyl diphosphate
cpd:C00236	1,3-Bisphospho-D-glycerate; D-Glycerate 1,3-diphosphate; 3-Phospho-D-glyceroyl phosphate; (R)-2-Hydroxy-3-(phosphonooxy)-1-monoanhydride with phosphoric propanoic acid
cpd:C00237	CO; Carbon monoxide
cpd:C00238	K+; Potassium(1+); Potassium ion; Potassium cation
cpd:C00239	dCMP; Deoxycytidylate; Deoxycytidylic acid; Deoxycytidine monophosphate; 2'-Deoxycytidine 5'-monophosphate
cpd:C00242	Guanine; 2-Amino-6-hydroxypurine
cpd:C00243	Lactose; Milk sugar; beta-D-Gal-(1->4)-D-Glc; 1-beta-D-Galactopyranosyl-4-D-glucopyranose
cpd:C00244	Nitrate; Nitric acid
cpd:C00245	Taurine; Aminoethylsulfonic acid; 2-Aminoethanesulfonic acid
cpd:C00246	Butyrate; Butanoate; Butyric acid; Butanoic acid
cpd:C00247	L-Sorbose; L-xylo-Hexulose
cpd:C00249	Palmitate; Cetylic acid; Hexadecanoate; Palmitic acid; Hexadecylic acid; Hexadecanoic acid
cpd:C00250	Pyridoxal
cpd:C00251	Chorismate; Chorismic acid; (3R,4R)-3-[(1-Carboxyethenyl)oxy]-4-hydroxycyclohexa-1,5-diene-1-carboxylate
cpd:C00252	Brachiose; Isomaltose
cpd:C00253	Niacin; Nicotinate; Nicotinic acid; 3-Pyridinecarboxylic acid
cpd:C00254	Prephenate; Prephenic acid
cpd:C00255	Riboflavin; Vitamin B2; Lactoflavin; 7,8-Dimethyl-10-ribitylisoalloxazine
cpd:C00256	D-Lactate; (R)-Lactate; D-Lactic acid; D-2-Hydroxypropanoic acid; D-2-Hydroxypropionic acid
cpd:C00257	D-Gluconate; D-Gluconic acid; D-gluco-Hexonic acid
cpd:C00258	Glycerate; D-Glycerate; (R)-Glycerate; Glyceric acid
cpd:C00259	L-Arabinose; L-Arabinopyranose
cpd:C00261	Benzaldehyde; Benzoic aldehyde
cpd:C00262	Purine-6-ol; Hypoxanthine
cpd:C00263	L-Homoserine; 2-Amino-4-hydroxybutyric acid
cpd:C00264	3-Oxoacyl-CoA
cpd:C00266	Glycolaldehyde; Hydroxyacetaldehyde
cpd:C00267	alpha-D-Glucose
cpd:C00268	Dihydrobiopterin; 6,7-Dihydrobiopterin; Quinoid-dihydrobiopterin; (6R)-6-(L-erythro-1,2-Dihydroxypropyl)-7,8-dihydro-6H-pterin
cpd:C00269	CDP-diacylglycerol; CDP-1,2-diacylglycerol; 1,2-Diacyl-sn-glycero-3-cytidine-5'-diphosphate
cpd:C00270	Neu5Ac; N-Acetylneuraminate; N-Acetylneuraminic acid; 5-Acetamido-3,5-dideoxy-D-glycero-D-galacto-2-nonulosonic acid
cpd:C00272	Tetrahydrobiopterin; 5,6,7,8-Tetrahydrobiopterin; L-erythro-Tetrahydrobiopterin; 2-Amino-6-(1,2-dihydroxypropyl)-5,6,7,8-tetrahydoro-4(1H)-pteridinone
cpd:C00275	D-Mannose 6-phosphate
cpd:C00279	D-Erythrose 4-phosphate
cpd:C00280	Androstenedione; 4-Androstene-3,17-dione; Androst-4-ene-3,17-dione
cpd:C00282	H2; Hydrogen
cpd:C00283	H2S; Sulfide; Hydrogen sulfide; Hydrogen-sulfide
cpd:C00286	dGTP; Deoxyguanosine triphosphate; Deoxyguanosine 5'-triphosphate; 2'-Deoxyguanosine 5'-triphosphate
cpd:C00288	HCO3-; Bicarbonate; Acid carbonate; Hydrogencarbonate
cpd:C00290	Fibrin
cpd:C00291	Nickel
cpd:C00292	Aniline; Arylamine; Phenylamine; Benzenamine
cpd:C00294	Inosine
cpd:C00295	Orotate; Orotic acid; Uracil-6-carboxylic acid
cpd:C00296	Quinate; L-Quinate; Kinic acid; Quinic acid; Chinic acid; L-Quinic acid; (-)-Quinic acid
cpd:C00299	Uridine
cpd:C00300	Creatine; Methylglycocyamine; alpha-Methylguanidino acetic acid
cpd:C00301	ADP-ribose; ADP-D-ribose; Adenosine diphosphate ribose
cpd:C00302	Glutamate; DL-Glutamate; Glutamic acid; DL-Glutaminic acid; 2-Aminoglutaric acid
cpd:C00304	Kanamycin
cpd:C00305	Mg2+; Magnesium(2+); Magnesium ion; Magnesium cation
cpd:C00306	Bradykinin
cpd:C00307	Citicoline; CDP-choline; Cytidine 5'-diphosphocholine
cpd:C00309	D-Ribulose; D-Riboketose; D-Arabinulose; D-Arabinoketose; D-erythro-2-Pentulose
cpd:C00310	D-Xylulose; D-Lyxulose; D-threo-Pentulose
cpd:C00311	Isocitrate; Isocitric acid; 1-Hydroxytricarballylic acid; 1-Hydroxypropane-1,2,3-tricarboxylic acid
cpd:C00312	L-Xylulose; L-Lyxulose; L-threo-Pentulose
cpd:C00313	Oxalyl-CoA
cpd:C00314	Pyridoxol; Pyridoxine
cpd:C00315	Spermidine; N-(3-Aminopropyl)-1,4-butane-diamine
cpd:C00318	Vitamin BT; L-Carnitine; Levocarnitine; (R)-Carnitine; L-gamma-Trimethyl-beta-hydroxybutyrobetaine; 3-Carboxy-2-hydroxy-N,N,N-trimethyl-1-propanaminium hydroxide, inner salt
cpd:C00319	Sphingoid; Sphingosine; Sphingenine; Sphing-4-enine
cpd:C00320	Thiosulfate; Hyposulfite
cpd:C00322	2-Oxoadipate; 2-Oxoadipic acid
cpd:C00323	Caffeoyl-CoA
cpd:C00325	GDP-L-fucose; GDP-beta-L-fucose
cpd:C00327	Citrulline; L-Citrulline; 2-Amino-5-ureidovaleric acid
cpd:C00328	L-Kynurenine; 3-Anthraniloyl-L-alanine
cpd:C00329	Chitosamine; D-Glucosamine; 2-Amino-2-deoxy-D-glucose
cpd:C00330	Deoxyguanosine; 2'-Deoxyguanosine
cpd:C00331	Indolepyruvate; Indole-3-pyruvate; Indolepyruvic acid; (Indol-3-yl)pyruvate; 3-(Indol-3-yl)pyruvate
cpd:C00332	Acetoacetyl-CoA; 3-Acetoacetyl-CoA; Acetoacetyl coenzyme A
cpd:C00333	D-Galacturonate; D-Galacturonic acid
cpd:C00334	GABA; 4-Aminobutyrate; 4-Aminobutanoate; 4-Aminobutyric acid; 4-Aminobutanoic acid; gamma-Aminobutyric acid
cpd:C00337	L-Dihydroorotate; (S)-Dihydroorotate; L-Dihydroorotic acid; Dihydro-L-orotic acid; (S)-4,5-Dihydroorotate
cpd:C00338	LPS; Lipopolysaccharide
cpd:C00340	Reduced rubredoxin
cpd:C00341	Geranyl diphosphate
cpd:C00342	Thioredoxin; Reduced thioredoxin
cpd:C00343	Thioredoxin sulfide; Oxidized thioredoxin; Thioredoxin disulfide
cpd:C00344	PtdGro; Phosphatidylglycerol; 3(3-Phosphatidyl-)glycerol; 3-(3-sn-Phosphatidyl)glycerol
cpd:C00345	6-Phospho-D-gluconate
cpd:C00346	Phosphoethanolamine; O-Phosphoethanolamine; Ethanolamine phosphate; O-Phosphorylethanolamine
cpd:C00350	Cephalin; Phosphatidylethanolamine; (3-Phosphatidyl)ethanolamine; L-1-Phosphatidylethanolamine; (3-Phosphatidyl)-ethanolamine; 1-Acyl-2-acyl-sn-glycero-3-phosphoethanolamine; O-(1-beta-Acyl-2-acyl-sn-glycero-3-phospho)ethanolamine
cpd:C00352	D-Glucosamine phosphate; D-Glucosamine 6-phosphate
cpd:C00353	Geranylgeranyl diphosphate; Geranylgeranyl pyrophosphate; all-trans-Geranylgeranyl diphosphate; all-trans-Geranylgeranyl pyrophosphate; (2E,6E,10E)-3,7,11,15-Tetramethylhexadeca-2,6,10,14-tetraen-1-yl diphosphate
cpd:C00354	D-Fructose 1,6-bisphosphate
cpd:C00355	L-Dopa; Levodopa; 3-Hydroxy-L-tyrosine; Dihydroxy-L-phenylalanine; 3,4-Dihydroxy-L-phenylalanine; L-beta-(3,4-Dihydroxyphenyl)alanine
cpd:C00356	HMG-CoA; Hydroxymethylglutaryl-CoA; 3-Hydroxy-3-methylglutaryl-CoA; Hydroxymethylglutaroyl coenzyme A; (S)-3-Hydroxy-3-methylglutaryl-CoA
cpd:C00357	N-Acetyl-D-glucosamine 6-phosphate
cpd:C00360	dAMP; Deoxyadenylic acid; Deoxyadenosine monophosphate; 2'-Deoxyadenosine 5'-phosphate; 2'-Deoxyadenosine 5'-monophosphate
cpd:C00361	dGDP; 2'-Deoxyguanosine 5'-diphosphate
cpd:C00362	dGMP; Deoxyguanylic acid; Deoxyguanosine monophosphate; 2'-Deoxyguanosine 5'-phosphate; 2'-Deoxyguanosine 5'-monophosphate
cpd:C00363	dTDP; Deoxythymidine 5'-diphosphate
cpd:C00364	dTMP; Thymidylate; Thymidylic acid; 5'-Thymidylic acid; Deoxythymidylic acid; Thymidine 5'-phosphate; Thymidine monophosphate; Deoxythymidine 5'-phosphate
cpd:C00365	dUMP; Deoxyuridylic acid; Deoxyuridine 5'-phosphate; Deoxyuridine monophosphate; 2'-Deoxyuridine 5'-phosphate
cpd:C00366	Urate; Uric acid
cpd:C00369	Starch
cpd:C00371	Zeatin; trans-Zeatin; N6-(4-Hydroxyisopentenyl)adenine; (E)-2-Methyl-4-(1H-purin-6-ylamino)but-2-en-1-ol
cpd:C00374	Heparin; Bemiparin; Enoxaparin
cpd:C00376	Retinal; Retinene; all-trans-Retinal; Vitamin A aldehyde; all-trans-Retinene; all-trans-Vitamin A aldehyde
cpd:C00378	Thiamin; Aneurin; Thiamine; Vitamin B1; Antiberiberi factor
cpd:C00379	Xylitol
cpd:C00380	Cytosine
cpd:C00381	Dolichol
cpd:C00383	Malonate; Malonic acid; Propanedioic acid
cpd:C00385	Xanthine
cpd:C00386	Carnosine; Nalpha-(beta-alanyl)-L-histidine
cpd:C00387	Guanosine
