node_name,node_type
ACTN2,protein
ACTN1,protein
UQCR10,protein
YOD1,protein
STAT4,protein
CD14,protein
ARRB1,protein
HADHA,protein
fm_711249,protein
PDSS1,protein
PDSS2,protein
AMY2B,protein
HYAL4,protein
MYL12B,protein
GGT7,protein
PIK3CD,protein
NFATC4,protein
dGMP,compound
Tryptamine,compound
fm_740474,protein
ITGB7,protein
ITGB5,protein
ITGB4,protein
ITGB1,protein
ITGB6,protein
ITGB8,protein
ITGB3,protein
OR2T1,protein
SMAD4,protein
VAV1,protein
VEGFA,protein
fm_701401,protein
ACAA1,protein
ACAA2,protein
HADHB,protein
FCGR3B,protein
SFRP2,protein
fm_709305,protein
FUT2,protein
FUT1,protein
MAP2K1,protein
MAPK3,protein
,compound
Serotonin,compound
CALML6,protein
PIGW,protein
CCL3,protein
O-Phosphoseryl-tRNA(Sec),compound
AARS2,protein
DGKQ,protein
ACTN2,protein
PIK3R2,protein
CLDN14,protein
CREBBP,protein
RPS6KA2,protein
LIPG,protein
HSP90AA1,protein
UGT1A4,protein
20-OH-LTB4,compound
fm_724451,protein
SEC61A1,protein
SEC61B,protein
SEC61G,protein
SEC61A2,protein
FUK,protein
IL21,protein
fm_729197,protein
IL1R1,protein
IL1R2,protein
UPF2,protein
Calcium,compound
fm_728660,protein
MAPK13,protein
MAPK14,protein
MAPK12,protein
MAPK11,protein
UMPS,protein
G6PC2,protein
IVD,protein
RXRB,protein
MRI1,protein
Adenosine 5&,compound
PRKCB,protein
Cyclic AMP,compound
NLGN4X,protein
COX6A2,protein
MTHFD1,protein
PLA2G1B,protein
"D-Sedoheptulose 1,7-bisphosphate",compound
CACNA1A,protein
CARS,protein
IRS1,protein
TTC37,protein
GCK,protein
OR2C3,protein
Phosphorylcholine,compound
fm_705258,protein
OGDHL,protein
OGDH,protein
ADH6,protein
UBQLNL,protein
ORC1,protein
ATP1B1,protein
3-Hydroxypropionyl-CoA,compound
PIP4K2C,protein
2-Aminomuconate semialdehyde,compound
"5beta-Cholestane-3alpha,7alpha,26-triol",compound
L-3-Cyanoalanine,compound
EREG,protein
,compound
PIK3CA,protein
ATP6V1C1,protein
MYH14,protein
GRM1,protein
POLR2C,protein
fm_719395,protein
FABP6,protein
FABP7,protein
FABP3,protein
FABP2,protein
FABP5,protein
FABP4,protein
FABP1,protein
POLE,protein
CBLC,protein
ACAT2,protein
OR5A2,protein
CACNA2D1,protein
Estradiol-17beta,compound
,protein
LEF1,protein
Neuberg ester,compound
,compound
POLD3,protein
Biocytin,compound
AKT3,protein
,protein
FGF2,protein
PPP3CC,protein
ATG12,protein
INHBA,protein
BRAF,protein
TNFRSF1A,protein
IGF1,protein
Diglyceride,compound
TCF7L2,protein
MC1R,protein
ULK2,protein
,protein
HLA-DRB1,protein
GH2,protein
GANC,protein
4-Acetamidobutanal,compound
fm_737446,protein
MAPK8,protein
MAPK9,protein
MAPK10,protein
ACOX1,protein
CHPT1,protein
17beta-Hydroxy-5alpha-androstan-3-one,compound
ADCY1,protein
CDC14B,protein
PRKX,protein
fm_710780,protein
CYP2A13,protein
CYP2C19,protein
CYP2C8,protein
CYP2A7,protein
CYP2A6,protein
CYP2B6,protein
CYP2C9,protein
CYP2C18,protein
EP300,protein
ATP1B1,protein
TGFB1,protein
fm_735946,protein
RELA,protein
NFKB1,protein
fm_707533,protein
EXTL3,protein
EXTL2,protein
,compound
NFKBIB,protein
IL12A,protein
PPID,protein
PXN,protein
PLCD3,protein
PSME3,protein
fm_722822,protein
CAMK2A,protein
CAMK2D,protein
CAMK2G,protein
CAMK2B,protein
PIK3CA,protein
fm_718621,protein
NXT1,protein
NXT2,protein
ITGAM,protein
,compound
ALG6,protein
fm_703613,protein
MAOA,protein
MAOB,protein
KCNQ1,protein
HLA-DRB4,protein
Docosahexaenoic acid,compound
fm_726314,protein
NFATC4,protein
NFATC2,protein
NFATC3,protein
NFATC1,protein
NFAT5,protein
ITGA5,protein
,compound
PLA2G4A,protein
Thioredoxin,compound
fm_721929,compound
,compound
,compound
,compound
,compound
fm_721549,protein
STAT1,protein
STAT5B,protein
STAT2,protein
STAT3,protein
ITPR1,protein
KRAS,protein
IL1B,protein
MYL10,protein
PIK3R2,protein
RET,protein
B3GNT4,protein
PRKAB2,protein
NTRK3,protein
NDUFS1,protein
LAMA1,protein
fm_730212,protein
MARCKSL1,protein
MARCKS,protein
UGT1A1,protein
PLA2G4B,protein
NADK,protein
INPP1,protein
CLTC,protein
fm_734168,protein
RAP1B,protein
RAP1A,protein
AASS,protein
UGT2A3,protein
T4,compound
NFKBIA,protein
GNAI1,protein
SORBS1,protein
PIP5KL1,protein
RUNX1,protein
(-)-Ureidoglycolate,compound
CREB5,protein
PFKL,protein
AP2A2,protein
fm_709517,protein
,protein
,protein
,protein
,protein
NXF2B,protein
fm_732589,protein
MAPK12,protein
MAPK14,protein
MAPK11,protein
MAPK13,protein
PRKAA1,protein
JAK2,protein
ROCK2,protein
HLA-B,protein
PDGFB,protein
fm_733784,protein
GUCY1A3,protein
GUCY1A2,protein
GUCY1B3,protein
,compound
fm_732087,protein
ITGA9,protein
ITGAV,protein
ITGA2,protein
ITGB1,protein
ITGA11,protein
ITGB2,protein
ITGB5,protein
ITGA6,protein
ITGA10,protein
ITGA5,protein
ITGB8,protein
ITGA2B,protein
ITGA4,protein
ITGB4,protein
ITGA1,protein
ITGA3,protein
ITGAM,protein
ITGB6,protein
ITGA7,protein
ITGAD,protein
ITGB3,protein
ITGAL,protein
ITGA8,protein
ITGAX,protein
ITGAE,protein
PRKACA,protein
MIOX,protein
2-Amino-3-methylbutyric acid,compound
fm_737661,protein
APC2,protein
APC,protein
,compound
CMBL,protein
BIRC2,protein
IL1R2,protein
GBE1,protein
NT5C1A,protein
PRKCD,protein
MAPK14,protein
POLE,protein
SCNN1A,protein
ECHS1,protein
fm_721481,protein
CRK,protein
CRKL,protein
PTGS2,protein
PGD,protein
TAB1,protein
PIK3R5,protein
fm_737933,protein
MMP9,protein
MMP1,protein
MMP2,protein
FCGR3A,protein
Decanoyl-[acyl-carrier protein],compound
fm_721970,compound
,compound
,compound
,compound
,compound
,compound
,compound
Morphine,compound
,compound
,compound
,compound
CTNND1,protein
PYCARD,protein
APC2,protein
Guaiacyl lignin,compound
TPM1,protein
NT5M,protein
OR5C1,protein
MAP2K1,protein
PLA2G12A,protein
FGF6,protein
PIK3CD,protein
MAPK14,protein
DPAGT1,protein
OR13H1,protein
3-Acetoacetyl-CoA,compound
trans-Dec-2-enoyl-CoA,compound
fm_722246,protein
AVPR1B,protein
AVPR2,protein
AVPR1A,protein
PDK1,protein
OR2C1,protein
MAPK1,protein
PGK2,protein
4-Bromophenol,compound
DDOST,protein
PF4V1,protein
MPL,protein
YARS,protein
LY 294002,compound
HLA-DQB1,protein
(R)-4&,compound
ACTB,protein
CLDN2,protein
PRKCB,protein
UGT1A1,protein
CCL17,protein
CTSF,protein
JUN,protein
QARS,protein
RAB11A,protein
GLI3,protein
CS,protein
ADCY1,protein
,compound
PTPRC,protein
GLUL,protein
LPL,protein
CDIPT,protein
CCND1,protein
fm_731890,protein
TMSB4Y,protein
TMSB4X,protein
TMSL3,protein
(2E)-Dodecenoyl-[acp],compound
fm_725027,protein
MYL6,protein
MYL6B,protein
MYL9,protein
(S)-3-Hydroxyoctanoyl-CoA,compound
,protein
ADCY7,protein
TST,protein
Sedoheptulose 7-phosphate,compound
fm_721459,protein
GNB1,protein
GNB5,protein
GNB4,protein
GNG7,protein
GNG4,protein
GNG8,protein
GNG12,protein
GNB2,protein
GNG3,protein
GNG5,protein
GNB3,protein
GNGT1,protein
GNG13,protein
GNG10,protein
GNGT2,protein
GNG2,protein
GNG11,protein
"Phosphatidyl-myo-inositol 4,5-bisphosphate",compound
,protein
HK2,protein
NHP2,protein
Pyridoxal,compound
Indolepyruvic acid,compound
(R)-Pantothenate,compound
"Benzo[a]pyrene-7,8-dihydrodiol",compound
IL2,protein
YWHAH,protein
fm_727067,protein
SDC1,protein
SDC2,protein
SDC3,protein
SDC4,protein
Allantoate,compound
CLDN16,protein
LAT,protein
Glucose 6-phosphate,compound
fm_719852,protein
PLA2G4A,protein
PLA2G2D,protein
PLA2G2A,protein
PLA2G2C,protein
JMJD7-PLA2G4B,protein
PLA2G5,protein
PLA2G2E,protein
PLA2G6,protein
PLA2G1B,protein
PLA2G2F,protein
PLA2G10,protein
PLA2G3,protein
PLA2G4B,protein
PLA2G12B,protein
PLA2G12A,protein
PLA2G4E,protein
CYP4F3,protein
Liothyronine,compound
TGFB1,protein
TPMT,protein
fm_723874,protein
PPT1,protein
PPT2,protein
Ribose 1-phosphate,compound
Carbon dioxide,compound
ECHS1,protein
,protein
ATP5A1,protein
GALNT10,protein
MAPK10,protein
AMY1A,protein
,protein
GLUL,protein
MAPK3,protein
PGM3,protein
INPP1,protein
LOC100133583,protein
fm_712285,compound
,compound
5&,compound
"N-(3-Aminopropyl)-1,4-butane-diamine",compound
GPAT2,protein
LEFTY1,protein
GABA,compound
HLA-DMB,protein
AGTR1,protein
GALNS,protein
PTGER3,protein
,compound
HLA-DQB1,protein
OGDH,protein
fm_728470,protein
TLR8,protein
TLR7,protein
SPTLC1,protein
AOX1,protein
ANAPC10,protein
SERPING1,protein
ITPR1,protein
NFKBIA,protein
ALDH9A1,protein
ACIN1,protein
fm_723675,protein
SKP1,protein
LOC100506332,protein
D-Lactate,compound
TUBB6,protein
LAMA3,protein
ATF6,protein
CYP2A6,protein
CYC1,protein
ACOT1,protein
fm_700006,protein
ALDH1B1,protein
ALDH7A1,protein
ALDH3A2,protein
ALDH2,protein
PLA2G2D,protein
EHHADH,protein
ARAF,protein
SOS2,protein
GRB2,protein
"11,12,15-THETA",compound
ATP6V0C,protein
ARAF,protein
D-Serine,compound
OCRL,protein
NME2,protein
BRAF,protein
ST3GAL6,protein
,protein
D-Erythrose 4-phosphate,compound
fm_734664,compound
Cholyltaurine,compound
Chenodiol,compound
"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholanate",compound
Glycocholate,compound
Glutathione,compound
HCO3-,compound
Glycochenodeoxycholate,compound
Taurochenodeoxycholic acid,compound
MBOAT2,protein
PIK3C3,protein
PAX4,protein
NOS1,protein
PLA2G12B,protein
PIK3C2B,protein
"alpha,alpha&",compound
HTR2A,protein
OR10H3,protein
ISYNA1,protein
ZAP70,protein
SMAD4,protein
ALDH9A1,protein
FXYD2,protein
LAMA4,protein
IRF3,protein
GMPPB,protein
NFKBIA,protein
NFKBIB,protein
ACAT2,protein
PIK3CD,protein
CALM1,protein
IL4R,protein
GRIN1,protein
CRKL,protein
TAB2,protein
RAC1,protein
,compound
,protein
NFKB1,protein
PIK3R5,protein
LTBP1,protein
IL2RA,protein
B3GALT1,protein
CAMKK1,protein
2-Bromoacetaldehyde,compound
ATP6V1G1,protein
GSR,protein
ENO1,protein
RELA,protein
CD8A,protein
fm_704196,protein
,protein
,protein
,protein
,protein
CELA3B,protein
fm_700014,protein
ALDH3A1,protein
ALDH3B2,protein
ALDH3B1,protein
ALDH1A3,protein
SFN,protein
BDKRB2,protein
PIP5K1A,protein
ADH5,protein
fm_708233,protein
LPCAT4,protein
LPCAT2,protein
LPGAT1,protein
LPCAT1,protein
LCLAT1,protein
UGT1A4,protein
ECHS1,protein
DDO,protein
MGAT2,protein
MYLK2,protein
Dihydrouracile,compound
JUP,protein
,protein
GNAO1,protein
LPCAT4,protein
PPP3CB,protein
NANP,protein
tRNA containing 6-isopentenyladenosine,compound
DGKI,protein
CCL26,protein
TNFRSF1A,protein
MAP2K1,protein
Biotinyl-5&,compound
FGF23,protein
"11beta,17alpha,21-Trihydroxypregnenolone",compound
PFKM,protein
MGST3,protein
SH3KBP1,protein
KLRC1,protein
GRK4,protein
ADCY1,protein
CD28,protein
PLD2,protein
HMGCS1,protein
NAT2,protein
EFNB2,protein
Deoxyguanosine,compound
CALM2,protein
PLCD4,protein
fm_725697,protein
DVL3,protein
DVL1,protein
DVL2,protein
CALML5,protein
EPHA3,protein
PLCB3,protein
Deoxyguanosine 5&,compound
UGT2B10,protein
,protein
AGRN,protein
HLA-C,protein
Arachidonate,compound
RB1,protein
RPS6KA3,protein
GNAI2,protein
CDP,compound
LFNG,protein
RAF1,protein
SEC61G,protein
UGT2B7,protein
fm_729810,protein
AKT2,protein
AKT3,protein
ASS1,protein
FGF3,protein
CYP3A5,protein
ADCY6,protein
MAGOH,protein
5-Hydroxy-L-tryptophan,compound
HHIP,protein
,compound
PGAM4,protein
BLNK,protein
OR52N4,protein
"17alpha,20alpha-Dihydroxycholesterol",compound
CCL5,protein
LAMC3,protein
GAPDH,protein
Oxydol,compound
ARHGEF6,protein
fm_732406,protein
FBP2,protein
FBP1,protein
ITPR3,protein
fm_708761,protein
SMPD3,protein
ENPP7,protein
SMPD4,protein
SMPD2,protein
SMPD1,protein
OR4K2,protein
MTNR1A,protein
Diglyceride,compound
JAK2,protein
PIK3R3,protein
WASL,protein
Grape sugar,compound
EGLN1,protein
TP53,protein
Adenosine 5&,compound
"2,5-Dihydroxybenzaldehyde",compound
fm_714968,protein
HADHB,protein
ACAA1,protein
ACAT1,protein
ACAA2,protein
ACAT2,protein
NFKB1,protein
BRAF,protein
TKTL2,protein
PIK3R5,protein
POLR1B,protein
HLA-DMA,protein
AKT3,protein
EPOR,protein
TREH,protein
CAMK2A,protein
MAP2K2,protein
ALDH7A1,protein
EPOR,protein
TNFRSF10C,protein
,compound
fm_739452,protein
SHC4,protein
SHC2,protein
SHC1,protein
SHC3,protein
Quinine,compound
APC,protein
Reduced nicotinamide adenine dinucleotide phosphate,compound
5-Aminoimidazole-4-carboxamide ribotide,compound
RELA,protein
ACSL4,protein
UTS2R,protein
ALDH1B1,protein
,compound
MOS,protein
RAB5C,protein
DHX36,protein
MAPK1,protein
fm_712375,protein
ACOX1,protein
ACOX3,protein
"L-alpha-Acetyl-N,N-dinormethadol",compound
fm_740819,protein
HLA-DRB3,protein
HLA-DRA,protein
HLA-DPB1,protein
HLA-DMA,protein
HLA-DQA2,protein
HLA-DQA1,protein
HLA-DRB1,protein
HLA-DMB,protein
HLA-DPA1,protein
HLA-DOA,protein
LOC100133583,protein
HLA-DOB,protein
HLA-DRB5,protein
HLA-DRB4,protein
fm_714884,protein
TH,protein
TYR,protein
NT5E,protein
HK3,protein
RNAn,compound
fm_723686,protein
SEC13,protein
SEC31B,protein
SEC31A,protein
RXRA,protein
PAP,compound
GUCY1B3,protein
L-Aspartyl-tRNA(Asp),compound
FLT3LG,protein
JMJD7-PLA2G4B,protein
PDGFB,protein
GSTP1,protein
fm_740107,protein
C1QA,protein
C1QB,protein
C1QC,protein
CLDN17,protein
COL4A1,protein
ENPP1,protein
Phosphorylcholine,compound
SPHK1,protein
PRPS2,protein
fm_709531,protein
LDHAL6A,protein
LDHB,protein
LDHAL6B,protein
LDHC,protein
LDHA,protein
CSNK1G1,protein
XPOT,protein
CASP9,protein
ODC1,protein
CCL22,protein
HSPA2,protein
PIK3R3,protein
fm_734375,protein
CPB2,protein
CPB1,protein
