target_id,ensg
SLC35E2B,ENSG00000189339
ENSG00000269737,ENSG00000269737
MMP23A,ENSG00000215914
CDK11A,ENSG00000008128
ENSG00000268575,ENSG00000268575
ENSG00000227775,ENSG00000227775
SLC35E2A,ENSG00000215790
NADK,ENSG00000008130
GNB1,ENSG00000078369
GNB1-DT,ENSG00000231050
CALML6,ENSG00000169885
TMEM52,ENSG00000178821
CFAP74,ENSG00000142609
ENSG00000233542,ENSG00000233542
GABRD,ENSG00000187730
PRKCZ-DT,ENSG00000226969
PRKCZ,ENSG00000067606
ENSG00000271806,ENSG00000271806
PRKCZ-AS1,ENSG00000182873
FAAP20,ENSG00000162585
ENSG00000234396,ENSG00000234396
SKI,ENSG00000157933
ENSG00000287356,ENSG00000287356
MORN1,ENSG00000116151
ENSG00000272161,ENSG00000272161
ENSG00000269896,ENSG00000269896
ENSG00000272420,ENSG00000272420
RER1,ENSG00000157916
PEX10,ENSG00000157911
PLCH2,ENSG00000149527
ENSG00000224387,ENSG00000224387
ENSG00000229393,ENSG00000229393
PANK4,ENSG00000157881
HES5,ENSG00000197921
ENSG00000272449,ENSG00000272449
TNFRSF14-AS1,ENSG00000238164
TNFRSF14,ENSG00000157873
ENSG00000225931,ENSG00000225931
ENSG00000228037,ENSG00000228037
ENSG00000289610,ENSG00000289610
PRXL2B,ENSG00000157870
MMEL1,ENSG00000142606
MMEL1-AS1,ENSG00000237058
TTC34,ENSG00000215912
ENSG00000285945,ENSG00000285945
ENSG00000283259,ENSG00000283259
ENSG00000233234,ENSG00000233234
ENSG00000287396,ENSG00000287396
ENSG00000231630,ENSG00000231630
ENSG00000284745,ENSG00000284745
ACTRT2,ENSG00000169717
PRDM16-DT,ENSG00000177133
PRDM16,ENSG00000142611
MIR4251,ENSG00000283572
ENSG00000226286,ENSG00000226286
ENSG00000279839,ENSG00000279839
ENSG00000272235,ENSG00000272235
ENSG00000287828,ENSG00000287828
ENSG00000286518,ENSG00000286518
ARHGEF16,ENSG00000130762
ENSG00000272088,ENSG00000272088
MEGF6,ENSG00000162591
MIR551A,ENSG00000207776
ENSG00000238260,ENSG00000238260
TPRG1L,ENSG00000158109
WRAP73,ENSG00000116213
TP73,ENSG00000078900
TP73-AS3,ENSG00000227589
TP73-AS2,ENSG00000235131
TP73-AS1,ENSG00000227372
ENSG00000276189,ENSG00000276189
CCDC27,ENSG00000162592
SMIM1,ENSG00000235169
LRRC47,ENSG00000130764
RN7SL574P,ENSG00000266075
ENSG00000272153,ENSG00000272153
CEP104,ENSG00000116198
DFFB,ENSG00000169598
C1orf174,ENSG00000198912
LINC01134,ENSG00000236423
LINC01346,ENSG00000233304
LINC01345,ENSG00000226374
LINC02780,ENSG00000284668
ENSG00000284703,ENSG00000284703
EEF1DP6,ENSG00000229280
LINC01777,ENSG00000235054
ENSG00000284694,ENSG00000284694
ENSG00000227169,ENSG00000227169
LINC01646,ENSG00000232596
AJAP1,ENSG00000196581
ENSG00000287586,ENSG00000287586
ENSG00000284739,ENSG00000284739
LINC02781,ENSG00000284674
LINC02782,ENSG00000231510
ENSG00000284616,ENSG00000284616
ENSG00000284692,ENSG00000284692
ENSG00000284666,ENSG00000284666
ENSG00000260972,ENSG00000260972
ENSG00000283356,ENSG00000283356
ENSG00000236948,ENSG00000236948
ENSG00000264341,ENSG00000264341
ENSG00000289893,ENSG00000289893
MIR4689,ENSG00000264101
NPHP4,ENSG00000131697
KCNAB2,ENSG00000069424
CHD5,ENSG00000116254
ENSG00000285629,ENSG00000285629
RPL22,ENSG00000116251
RNF207-AS1,ENSG00000226944
RNF207,ENSG00000158286
ICMT,ENSG00000116237
ICMT-DT,ENSG00000225077
HES3,ENSG00000173673
GPR153,ENSG00000158292
ACOT7,ENSG00000097021
ENSG00000271746,ENSG00000271746
HES2,ENSG00000069812
ESPN,ENSG00000187017
MIR4252,ENSG00000265392
ENSG00000231868,ENSG00000231868
TNFRSF25,ENSG00000215788
PLEKHG5,ENSG00000171680
NOL9,ENSG00000162408
RNU6-731P,ENSG00000253022
ENSG00000229519,ENSG00000229519
TAS1R1,ENSG00000173662
ZBTB48,ENSG00000204859
KLHL21,ENSG00000162413
PHF13,ENSG00000116273
THAP3,ENSG00000041988
DNAJC11,ENSG00000007923
LINC01672,ENSG00000228750
ENSG00000284744,ENSG00000284744
CAMTA1-DT,ENSG00000237436
CAMTA1,ENSG00000171735
ENSG00000227950,ENSG00000227950
ENSG00000237365,ENSG00000237365
RNU1-8P,ENSG00000207056
CAMTA1-IT1,ENSG00000237402
CAMTA1-AS2,ENSG00000237728
CAMTA1-AS1,ENSG00000225126
ENSG00000270171,ENSG00000270171
ENSG00000270035,ENSG00000270035
ENSG00000269978,ENSG00000269978
VAMP3,ENSG00000049245
ENSG00000269925,ENSG00000269925
PER3,ENSG00000049246
ENSG00000236266,ENSG00000236266
UTS2,ENSG00000049247
TNFRSF9,ENSG00000049249
ENSG00000270330,ENSG00000270330
PARK7,ENSG00000116288
Y_RNA,ENSG00000200344
ENSG00000284747,ENSG00000284747
ENSG00000284716,ENSG00000284716
ERRFI1,ENSG00000116285
ERRFI1-DT,ENSG00000238290
RPL7AP18,ENSG00000232848
ENSG00000229305,ENSG00000229305
ENSG00000288816,ENSG00000288816
LINC01714,ENSG00000227634
RNU1-7P,ENSG00000200975
ENSG00000233645,ENSG00000233645
RNU6-991P,ENSG00000251977
SLC45A1,ENSG00000162426
RERE,ENSG00000142599
RERE-AS1,ENSG00000232912
ENSG00000221083,ENSG00000221083
ENSG00000270282,ENSG00000270282
RPL7P11,ENSG00000234619
RPL7P7,ENSG00000224315
ENSG00000226545,ENSG00000226545
ENSG00000228423,ENSG00000228423
RPL23AP19,ENSG00000229716
ENO1,ENSG00000074800
MIR6728,ENSG00000274258
ENO1-AS1,ENSG00000230679
RNU6-304P,ENSG00000201725
HMGN2P17,ENSG00000238249
ENSG00000232208,ENSG00000232208
ENSG00000232663,ENSG00000232663
CA6,ENSG00000131686
ENSG00000290109,ENSG00000290109
RN7SL451P,ENSG00000265141
SLC2A7,ENSG00000197241
SLC2A5,ENSG00000142583
ENSG00000252404,ENSG00000252404
GPR157,ENSG00000180758
MIR34AHG,ENSG00000228526
MIR34A,ENSG00000284357
ENSG00000289914,ENSG00000289914
LNCTAM34A,ENSG00000234546
H6PD,ENSG00000049239
SPSB1,ENSG00000171621
ENSG00000284652,ENSG00000284652
LINC02606,ENSG00000284693
RNA5SP40,ENSG00000252956
ENSG00000235263,ENSG00000235263
SLC25A33,ENSG00000171612
ENSG00000231181,ENSG00000231181
TMEM201,ENSG00000188807
PIK3CD,ENSG00000171608
PIK3CD-AS1,ENSG00000179840
ENSG00000233268,ENSG00000233268
PIK3CD-AS2,ENSG00000231789
CLSTN1,ENSG00000171603
MZT1P1,ENSG00000271264
ENSG00000280113,ENSG00000280113
CTNNBIP1,ENSG00000178585
ENSG00000223989,ENSG00000223989
ENSG00000285701,ENSG00000285701
LZIC,ENSG00000162441
ENSG00000228150,ENSG00000228150
NMNAT1,ENSG00000173614
RN7SKP269,ENSG00000202415
TMEM274P,ENSG00000283611
MIR5697,ENSG00000265521
ENSG00000241326,ENSG00000241326
RBP7,ENSG00000162444
UBE4B,ENSG00000130939
ENSG00000224340,ENSG00000224340
PGAM1P11,ENSG00000233623
RNU6-828P,ENSG00000201746
KIF1B,ENSG00000054523
ENSG00000264881,ENSG00000264881
RNU6-37P,ENSG00000199562
RN7SL731P,ENSG00000264501
ENSG00000284735,ENSG00000284735
ENSG00000284642,ENSG00000284642
PGD,ENSG00000142657
ENSG00000271989,ENSG00000271989
CENPS-CORT,ENSG00000251503
CENPS,ENSG00000175279
CORT,ENSG00000241563
DFFA,ENSG00000160049
ENSG00000203469,ENSG00000203469
PEX14,ENSG00000142655
ENSG00000287727,ENSG00000287727
RN7SL614P,ENSG00000243267
CASZ1,ENSG00000130940
ENSG00000272078,ENSG00000272078
HSPE1P24,ENSG00000225158
C1orf127,ENSG00000175262
CFL1P6,ENSG00000215785
TARDBP,ENSG00000120948
MASP2,ENSG00000009724
SRM,ENSG00000116649
EXOSC10,ENSG00000171824
ENSG00000226849,ENSG00000226849
EXOSC10-AS1,ENSG00000230337
MTOR,ENSG00000198793
MTOR-AS1,ENSG00000225602
RNU6-537P,ENSG00000253086
ANGPTL7,ENSG00000171819
RNU6-291P,ENSG00000207451
RPL39P6,ENSG00000238173
UBIAD1,ENSG00000120942
UBE2V2P3,ENSG00000238199
ENSG00000284646,ENSG00000284646
MTCYBP45,ENSG00000224338
DISP3,ENSG00000204624
ENSG00000285833,ENSG00000285833
LINC01647,ENSG00000235643
ENSG00000284708,ENSG00000284708
FBXO2,ENSG00000116661
FBXO44,ENSG00000132879
MAD2L2,ENSG00000116670
FBXO6,ENSG00000116663
DRAXIN,ENSG00000162490
AGTRAP,ENSG00000177674
C1orf167,ENSG00000215910
C1orf167-AS1,ENSG00000177553
MTHFR,ENSG00000177000
CLCN6,ENSG00000011021
ENSG00000276470,ENSG00000276470
ENSG00000278852,ENSG00000278852
NPPA,ENSG00000175206
ENSG00000275915,ENSG00000275915
NPPB,ENSG00000120937
SBF1P2,ENSG00000224904
ENSG00000285646,ENSG00000285646
RNU5E-1,ENSG00000199347
RNU5E-4P,ENSG00000201801
KIAA2013,ENSG00000116685
PLOD1,ENSG00000083444
ENSG00000287384,ENSG00000287384
MFN2,ENSG00000116688
ENSG00000270914,ENSG00000270914
MIIP,ENSG00000116691
MIR6729,ENSG00000276869
RN7SL649P,ENSG00000243539
TNFRSF8,ENSG00000120949
RNU6-777P,ENSG00000201135
RPL23AP89,ENSG00000227875
ENSG00000285604,ENSG00000285604
MIR7846,ENSG00000283789
TNFRSF1B,ENSG00000028137
MIR4632,ENSG00000263676
RPL10P17,ENSG00000225196
SNORA70,ENSG00000252969
VPS13D,ENSG00000048707
SNORA59A,ENSG00000239149
LINC02766,ENSG00000229484
DHRS3,ENSG00000162496
RNU6ATAC18P,ENSG00000221340
MIR6730,ENSG00000276830
ENSG00000288927,ENSG00000288927
ENSG00000272482,ENSG00000272482
AADACL4,ENSG00000204518
ENSG00000226166,ENSG00000226166
AADACL3,ENSG00000188984
CFAP107,ENSG00000157330
PRAMEF12,ENSG00000116726
PRAMEF1,ENSG00000116721
LINC01784,ENSG00000228338
PRAMEF11,ENSG00000239810
PRAMEF30P,ENSG00000231103
HNRNPCL1,ENSG00000179172
PRAMEF2,ENSG00000120952
PRAMEF4,ENSG00000243073
PRAMEF10,ENSG00000187545
PRAMEF7,ENSG00000204510
RNU6-1072P,ENSG00000207434
PRAMEF29P,ENSG00000234064
PRAMEF6,ENSG00000232423
PRAMEF28P,ENSG00000274178
PRAMEF27,ENSG00000274764
HNRNPCL3,ENSG00000277058
PRAMEF25,ENSG00000229571
PRAMEF34P,ENSG00000277862
PRAMEF35P,ENSG00000236179
HNRNPCL2,ENSG00000275774
PRAMEF36P,ENSG00000229978
ENSG00000233336,ENSG00000233336
PRAMEF26,ENSG00000280267
HNRNPCL4,ENSG00000179412
PRAMEF9,ENSG00000204505
PRAMEF13,ENSG00000279169
PRAMEF18,ENSG00000279804
PRAMEF31P,ENSG00000250894
PRAMEF5,ENSG00000270601
PRAMEF32P,ENSG00000231219
RNU6-771P,ENSG00000207511
PRAMEF8,ENSG00000182330
PRAMEF33,ENSG00000237700
PRAMEF15,ENSG00000204501
ENSG00000228229,ENSG00000228229
PRAMEF14,ENSG00000204481
PRAMEF19,ENSG00000204480
PRAMEF17,ENSG00000204479
PRAMEF20,ENSG00000204478
LRRC38,ENSG00000162494
ENSG00000259961,ENSG00000259961
BRWD1P1,ENSG00000215909
PDPN,ENSG00000162493
RNA5SP41,ENSG00000222952
ENSG00000237445,ENSG00000237445
ENSG00000253085,ENSG00000253085
PRDM2,ENSG00000116731
ENSG00000289380,ENSG00000289380
KAZN,ENSG00000189337
RNU6-1265P,ENSG00000252151
ENSG00000231606,ENSG00000231606
KAZN-AS1,ENSG00000234593
TBCAP2,ENSG00000235829
ENSG00000287756,ENSG00000287756
TMEM51-AS1,ENSG00000175147
TMEM51,ENSG00000171729
TMEM51-AS2,ENSG00000204464
MFFP1,ENSG00000215720
ZBTB2P1,ENSG00000278480
FHAD1,ENSG00000142621
FHAD1-AS1,ENSG00000233485
ENSG00000236045,ENSG00000236045
EFHD2-AS1,ENSG00000228140
EFHD2,ENSG00000142634
CTRC,ENSG00000162438
CELA2A,ENSG00000142615
CELA2B,ENSG00000215704
CASP9,ENSG00000132906
DNAJC16,ENSG00000116138
SCARNA21B,ENSG00000251866
ENSG00000272510,ENSG00000272510
AGMAT,ENSG00000116771
ENSG00000237301,ENSG00000237301
CHCHD2P6,ENSG00000235084
RNU7-179P,ENSG00000252417
CD24P1,ENSG00000236500
DDI2,ENSG00000197312
RSC1A1,ENSG00000215695
ENSG00000271742,ENSG00000271742
PLEKHM2,ENSG00000116786
ENSG00000237938,ENSG00000237938
SLC25A34,ENSG00000162461
SLC25A34-AS1,ENSG00000224459
TMEM82,ENSG00000162460
FBLIM1,ENSG00000162458
RPL12P14,ENSG00000224321
UQCRHL,ENSG00000233954
ENSG00000178715,ENSG00000178715
SPEN-AS1,ENSG00000179743
SPEN,ENSG00000065526
ENSG00000270620,ENSG00000270620
ZBTB17,ENSG00000116809
ENSG00000234607,ENSG00000234607
ENSG00000231353,ENSG00000231353
ENSG00000275503,ENSG00000275503
TBC1D3P6,ENSG00000224966
SRARP,ENSG00000183888
ENSG00000233078,ENSG00000233078
HSPB7,ENSG00000173641
CLCNKA,ENSG00000186510
ENSG00000232456,ENSG00000232456
CLCNKB,ENSG00000184908
FAM131C,ENSG00000185519
EPHA2,ENSG00000142627
EPHA2-AS1,ENSG00000227959
ENSG00000224621,ENSG00000224621
ARHGEF19-AS1,ENSG00000234166
ARHGEF19,ENSG00000142632
ANO7L1,ENSG00000237276
ENSG00000288398,ENSG00000288398
CPLANE2,ENSG00000132881
MT1XP1,ENSG00000233929
FBXO42,ENSG00000037637
SZRD1,ENSG00000055070
RPL22P3,ENSG00000226457
SPATA21,ENSG00000187144
NECAP2,ENSG00000157191
LINC01772,ENSG00000226029
CROCCP3,ENSG00000080947
RNU1-1,ENSG00000206652
ENSG00000261135,ENSG00000261135
ENSG00000285853,ENSG00000285853
ENSG00000224174,ENSG00000224174
LINC01783,ENSG00000233421
RNU1-6P,ENSG00000277344
PDE4DIPP8,ENSG00000225710
NBPF1,ENSG00000219481
ENSG00000271732,ENSG00000271732
CROCCP2,ENSG00000215908
ENSG00000283773,ENSG00000283773
MST1P2,ENSG00000186301
ENSG00000282143,ENSG00000282143
RNU1-3,ENSG00000207513
ENSG00000280114,ENSG00000280114
EIF1AXP1,ENSG00000236698
ESPNP,ENSG00000268869
ENSG00000279151,ENSG00000279151
ENSG00000282740,ENSG00000282740
CROCC,ENSG00000058453
CROCCP4,ENSG00000227684
RNU1-4,ENSG00000207389
MST1L,ENSG00000186715
ENSG00000223643,ENSG00000223643
PDE4DIPP9,ENSG00000230239
MIR3675,ENSG00000263811
ENSG00000228549,ENSG00000228549
RNU1-5P,ENSG00000277234
ENSG00000238142,ENSG00000238142
ENSG00000235241,ENSG00000235241
RNU1-2,ENSG00000207005
ENSG00000272426,ENSG00000272426
ENSG00000290122,ENSG00000290122
MFAP2,ENSG00000117122
ENSG00000286898,ENSG00000286898
ENSG00000226526,ENSG00000226526
ATP13A2,ENSG00000159363
ENSG00000288636,ENSG00000288636
SDHB,ENSG00000117118
PADI2,ENSG00000117115
LINC02783,ENSG00000204362
ENSG00000282843,ENSG00000282843
PADI1,ENSG00000142623
PADI3,ENSG00000142619
MIR3972,ENSG00000266634
PADI4,ENSG00000159339
PADI6,ENSG00000276747
RCC2-AS1,ENSG00000227751
RCC2,ENSG00000179051
ENSG00000290096,ENSG00000290096
ARHGEF10L,ENSG00000074964
LINC02810,ENSG00000236648
ACTL8,ENSG00000117148
ENSG00000284653,ENSG00000284653
LINC01654,ENSG00000261781
IGSF21,ENSG00000117154
ENSG00000280222,ENSG00000280222
IGSF21-AS1,ENSG00000230035
ENSG00000225387,ENSG00000225387
KLHDC7A,ENSG00000179023
DYNLL1P3,ENSG00000235282
ENSG00000225478,ENSG00000225478
PAX7,ENSG00000009709
TAS1R2,ENSG00000179002
ALDH4A1,ENSG00000159423
MIR4695,ENSG00000265606
MIR1290,ENSG00000221662
IFFO2,ENSG00000169991
ENSG00000272084,ENSG00000272084
UBR4,ENSG00000127481
EMC1-AS1,ENSG00000230424
EMC1,ENSG00000127463
MRTO4,ENSG00000053372
ENSG00000286064,ENSG00000286064
AKR7L,ENSG00000211454
AKR7A3,ENSG00000162482
ENSG00000270728,ENSG00000270728
AKR7A2,ENSG00000053371
RNU6-1099P,ENSG00000200403
SLC66A1,ENSG00000040487
CAPZB,ENSG00000077549
RN7SL277P,ENSG00000240490
MICOS10,ENSG00000173436
RNU4-28P,ENSG00000201609
MICOS10-DT,ENSG00000235185
NBL1,ENSG00000158747
MICOS10-NBL1,ENSG00000270136
ENSG00000226396,ENSG00000226396
HTR6,ENSG00000158748
TMCO4,ENSG00000162542
RNF186,ENSG00000178828
RNF186-AS1,ENSG00000235434
OTUD3,ENSG00000169914
PLA2G2E,ENSG00000188784
RN7SL304P,ENSG00000242688
PLA2G2A,ENSG00000188257
PLA2G5,ENSG00000127472
PLA2G2D,ENSG00000117215
PLA2G2F,ENSG00000158786
ENSG00000227066,ENSG00000227066
PLA2G2C,ENSG00000187980
UBXN10,ENSG00000162543
LINC01757,ENSG00000228105
ENSG00000284710,ENSG00000284710
VWA5B1,ENSG00000158816
ENSG00000226664,ENSG00000226664
LINC01141,ENSG00000236963
ENSG00000226487,ENSG00000226487
ENSG00000284641,ENSG00000284641
ENSG00000284743,ENSG00000284743
CAMK2N1,ENSG00000162545
ENSG00000289402,ENSG00000289402
MUL1,ENSG00000090432
RPS4XP4,ENSG00000215520
FAM43B,ENSG00000183114
CDA,ENSG00000158825
PINK1,ENSG00000158828
MIR6084,ENSG00000284005
PINK1-AS,ENSG00000117242
DDOST,ENSG00000244038
KIF17,ENSG00000117245
ENSG00000235432,ENSG00000235432
SH2D5,ENSG00000189410
ENSG00000233069,ENSG00000233069
HP1BP3,ENSG00000127483
EIF4G3,ENSG00000075151
RNU7-200P,ENSG00000251914
MIR1256,ENSG00000221808
RPS15AP6,ENSG00000233072
ENSG00000236073,ENSG00000236073
HSPE1P27,ENSG00000235112
ENSG00000287192,ENSG00000287192
ECE1,ENSG00000117298
ENSG00000236936,ENSG00000236936
ECE1-AS1,ENSG00000231105
PPP1R11P1,ENSG00000236216
PDE4DIPP10,ENSG00000228823
ENSG00000236009,ENSG00000236009
NBPF2P,ENSG00000227001
HS6ST1P1,ENSG00000187952
CROCCP5,ENSG00000186543
NBPF3,ENSG00000142794
PFN1P10,ENSG00000176378
ALPL,ENSG00000162551
ENSG00000289715,ENSG00000289715
LINC02596,ENSG00000233431
RAP1GAP,ENSG00000076864
USP48,ENSG00000090686
ENSG00000231978,ENSG00000231978
LDLRAD2,ENSG00000187942
HSPG2,ENSG00000142798
ENSG00000232037,ENSG00000232037
ENSG00000283234,ENSG00000283234
CELA3B,ENSG00000219073
ENSG00000285959,ENSG00000285959
RN7SL386P,ENSG00000273610
RNU6-1022P,ENSG00000201919
CELA3A,ENSG00000142789
RN7SL186P,ENSG00000278124
RNU6-776P,ENSG00000201273
LINC01635,ENSG00000228397
LINC00339,ENSG00000218510
ENSG00000289694,ENSG00000289694
CDC42-AS1,ENSG00000285752
ENSG00000285794,ENSG00000285794
CDC42,ENSG00000070831
CDC42-IT1,ENSG00000230068
MPHOSPH6P1,ENSG00000271428
WNT4,ENSG00000162552
ENSG00000285873,ENSG00000285873
MIR4418,ENSG00000266564
PPIAP34,ENSG00000234397
ENSG00000279625,ENSG00000279625
ZBTB40,ENSG00000184677
ZBTB40-IT1,ENSG00000237200
EPHA8,ENSG00000070886
MIR6127,ENSG00000276835
C1QA,ENSG00000173372
ENSG00000289692,ENSG00000289692
C1QC,ENSG00000159189
C1QB,ENSG00000173369
EPHB2,ENSG00000133216
MIR4684,ENSG00000265422
ENSG00000225952,ENSG00000225952
MIR4253,ENSG00000264014
LACTBL1,ENSG00000215906
TEX46,ENSG00000227868
KDM1A,ENSG00000004487
ENSG00000240553,ENSG00000240553
MIR3115,ENSG00000263793
ENSG00000266802,ENSG00000266802
LUZP1,ENSG00000169641
ENSG00000229010,ENSG00000229010
RNU6-514P,ENSG00000206935
RNU6-135P,ENSG00000252578
ENSG00000289014,ENSG00000289014
HTR1D,ENSG00000179546
ENSG00000215381,ENSG00000215381
LINC01355,ENSG00000261326
ENSG00000284726,ENSG00000284726
HNRNPR,ENSG00000125944
ZNF436,ENSG00000125945
ZNF436-AS1,ENSG00000249087
ENSG00000271420,ENSG00000271420
TCEA3,ENSG00000204219
ENSG00000232482,ENSG00000232482
ASAP3,ENSG00000088280
E2F2,ENSG00000007968
ENSG00000235052,ENSG00000235052
ID3,ENSG00000117318
ENSG00000285802,ENSG00000285802
MDS2,ENSG00000197880
ENSG00000229239,ENSG00000229239
RPL11,ENSG00000142676
ELOA-AS1,ENSG00000236810
ELOA,ENSG00000011007
PITHD1,ENSG00000057757
ENSG00000289835,ENSG00000289835
LYPLA2,ENSG00000011009
GALE,ENSG00000117308
HMGCL,ENSG00000117305
FUCA1,ENSG00000179163
CNR2,ENSG00000188822
BTBD6P1,ENSG00000229106
ENSG00000232557,ENSG00000232557
MIR378F,ENSG00000264926
H3P1,ENSG00000230228
PNRC2,ENSG00000189266
SRSF10,ENSG00000188529
ENSG00000215905,ENSG00000215905
ENSG00000225315,ENSG00000225315
MYOM3,ENSG00000142661
MYOM3-AS1,ENSG00000230703
IL22RA1,ENSG00000142677
IFNLR1,ENSG00000185436
GRHL3,ENSG00000158055
LINC02800,ENSG00000230023
GRHL3-AS1,ENSG00000232298
STPG1,ENSG00000001460
NIPAL3,ENSG00000001461
ENSG00000288982,ENSG00000288982
RCAN3AS,ENSG00000286061
RCAN3,ENSG00000117602
NCMAP-DT,ENSG00000264443
NCMAP,ENSG00000184454
ENSG00000227312,ENSG00000227312
SRRM1,ENSG00000133226
ENSG00000284699,ENSG00000284699
CLIC4,ENSG00000169504
RNU6-1208P,ENSG00000238482
RUNX3,ENSG00000020633
MIR6731,ENSG00000278034
RUNX3-AS1,ENSG00000229162
ENSG00000261025,ENSG00000261025
MIR4425,ENSG00000264371
LINC02793,ENSG00000285823
ENSG00000233755,ENSG00000233755
IFITM3P7,ENSG00000233419
ENSG00000231953,ENSG00000231953
SYF2,ENSG00000117614
ENSG00000284602,ENSG00000284602
ENSG00000284657,ENSG00000284657
RSRP1,ENSG00000117616
ENSG00000272432,ENSG00000272432
ENSG00000261349,ENSG00000261349
RHD,ENSG00000187010
SDHDP6,ENSG00000224183
ENSG00000259984,ENSG00000259984
TMEM50A,ENSG00000183726
RHCE,ENSG00000188672
ENSG00000238084,ENSG00000238084
MACO1,ENSG00000204178
LDLRAP1,ENSG00000157978
ENSG00000225643,ENSG00000225643
MAN1C1,ENSG00000117643
ENSG00000233478,ENSG00000233478
SELENON,ENSG00000162430
ENSG00000255054,ENSG00000255054
ENSG00000228172,ENSG00000228172
MTFR1L,ENSG00000117640
ENSG00000272478,ENSG00000272478
AUNIP,ENSG00000127423
ENSG00000236528,ENSG00000236528
PAQR7,ENSG00000182749
STMN1,ENSG00000117632
